package	version
DEoptimR	1.1-4
Deriv	4.2.0
desc	1.4.3
devtools	2.5.0
diagram	1.6.5
diffobj	0.3.6
digest	0.6.39
diptest	0.77-2
dir.expiry	1.18.0
distances	0.1.13
doBy	4.7.1
doParallel	1.0.17
doRNG	1.8.6.3
dotCall64	1.2
downlit	0.4.5
dplyr	1.2.0
dqrng	0.3.2
DT	0.34.0
dynamicTreeCut	1.63-1
e1071	1.7-17
EBImage	4.52.0
edgeR	4.8.2
ellipse	0.5.0
ellipsis	0.3.2
emmeans	2.0.2
estimability	1.5.1
evaluate	1.0.5
ExperimentHub	3.0.0
fansi	1.0.7
farver	2.1.2
fastDummies	1.7.5
fastmap	1.2.0
fastmatch	1.1-8
fftwtools	0.9-11
fgsea	1.36.2
filelock	1.0.3
findPC	1.0
fitdistrplus	1.2-6
flashClust	1.1-4
flexmix	2.3-20
FNN	1.1.4.1
fontawesome	0.5.3
foreach	1.5.2
forecast	9.0.1
formatR	1.14
Formula	1.2-5
fpc	2.2-14
fracdiff	1.5-3
fs	1.6.7
furrr	0.3.1
futile.logger	1.4.9
futile.options	1.0.1
future	1.70.0
future.apply	1.20.2
generics	0.1.4
GenomeInfoDb	1.46.2
GenomeInfoDbData	1.2.15
GenomicRanges	1.62.1
geometry	0.5.2
gert	2.3.1
GetoptLong	1.1.0
ggalluvial	0.12.6
ggbeeswarm	0.7.3
ggforce	0.5.0
ggnetwork	0.5.14
ggplot2	4.0.2
ggpubr	0.6.3
ggraph	2.2.2
ggrastr	1.0.2
ggrepel	0.9.8
ggridges	0.5.7
ggsci	4.2.0
ggsignif	0.6.4
gh	1.5.0
Giotto	4.2.2
GiottoClass	0.4.10
GiottoUtils	0.2.5
GiottoVisuals	0.2.14
gitcreds	0.1.2
glmGamPoi	1.22.0
GlobalOptions	0.1.3
globals	0.19.1
glue	1.8.0
goftest	1.2-3
gower	1.0.2
gplots	3.3.0
graphics	4.5.2
graphlayouts	1.2.3
grDevices	4.5.2
grid	4.5.2
gridBase	0.4-7
gridExtra	2.3
gtable	0.3.6
gtools	3.9.5
gypsum	1.6.0
h5mread	1.2.1
hardhat	1.4.2
harmony	1.2.4
HDF5Array	1.38.0
hdf5r	1.3.12
here	1.0.2
hexbin	1.28.5
highr	0.12
hms	1.1.4
htmltools	0.5.9
htmlwidgets	1.6.4
httpuv	1.6.16
httr	1.4.8
httr2	1.2.2
ica	1.0-3
igraph	2.2.2
imcRtools	1.16.0
ini	0.3.1
ipred	0.9-15
IRanges	2.44.0
irlba	2.3.7
isoband	0.3.0
iterators	1.0.14
jpeg	0.1-11
jquerylib	0.1.4
jsonlite	2.0.0
jsonvalidate	1.5.0
KEGGREST	1.50.0
kernlab	0.9-33
KernSmooth	2.23-26
knitr	1.51
labeling	0.4.3
lambda.r	1.2.4
later	1.4.8
lattice	0.22-9
lava	1.8.2
lazyeval	0.2.2
leaps	3.2
leidenAlg	1.1.6
leidenbase	0.1.36
liana	0.1.14
lifecycle	1.0.5
limma	3.66.0
linprog	0.9-6
lisi	1.0
listenv	0.10.1
lme4	2.0-1
lmtest	0.9-40
locfit	1.5-9.12
logger	0.4.1
lpSolve	5.6.23
lubridate	1.9.5
magic	1.6-1
magick	2.9.1
magrittr	2.0.4
MASS	7.3-65
matlab	1.0.4.1
Matrix	1.7-4
MatrixGenerics	1.22.0
MatrixModels	0.5-4
matrixStats	1.5.0
mclust	6.1.2
memoise	2.0.1
MERINGUE	1.0
metapod	1.18.0
methods	4.5.2
mgcv	1.9-4
microbenchmark	1.5.0
miloR	2.6.0
mime	0.13
miniUI	0.1.2
minqa	1.2.8
mistyR	1.18.0
ModelMetrics	1.2.2.2
modelr	0.1.11
modeltools	0.2-24
msigdbr	26.1.0
multcompView	0.1-11
munsell	0.5.1
mvtnorm	1.3-6
network	1.20.0
nlme	3.1-168
nloptr	2.2.1
NMF	0.28
nnet	7.3-20
nnls	1.6
nnSVG	1.14.0
numDeriv	2016.8-1.1
OmnipathR	3.18.4
openssl	2.3.5
otel	0.2.0
pak	0.9.2
parallel	4.5.2
parallelly	1.46.1
patchwork	1.3.2
pbapply	1.7-4
pbkrtest	0.5.5
pbmcapply	1.5.1
pcaPP	2.0-5
pheatmap	1.0.13
pillar	1.11.1
pkgbuild	1.4.8
pkgconfig	2.0.3
pkgdown	2.2.0
pkgload	1.5.0
plogr	0.2.0
plotly	4.12.0
plyr	1.8.9
png	0.1-9
polyclip	1.10-7
polynom	1.4-1
prabclus	2.3-5
pracma	2.4.6
praise	1.0.0
presto	1.0.0
prettyunits	1.2.0
pROC	1.19.0.1
processx	3.8.6
prodlim	2026.03.11
profvis	0.4.0
progress	1.2.3
progressr	0.18.0
promises	1.5.0
proxy	0.4-29
ps	1.9.1
purrr	1.2.1
qs2	0.1.7
quantreg	6.1
R.methodsS3	1.8.2
R.oo	1.27.1
R.utils	2.13.0
R6	2.6.1
ragg	1.5.2
randomForest	4.7-1.2
ranger	0.18.0
RANN	2.6.2
rappdirs	0.3.4
raster	3.6-32
rbibutils	2.4.1
rcmdcheck	1.4.0
RColorBrewer	1.1-3
Rcpp	1.1.1
RcppAnnoy	0.0.23
RcppArmadillo	15.2.3-1
RcppEigen	0.3.4.0.2
RcppHNSW	0.6.0
RcppHungarian	0.3
RcppML	0.3.7.1
RcppParallel	5.1.11-2
RcppProgress	0.4.2
RcppTOML	0.2.3
RCurl	1.98-1.18
rdist	0.0.5
Rdpack	2.6.6
readr	2.2.0
readxl	1.4.5
recipes	1.3.1
reformulas	0.4.4
registry	0.5-1
rematch	2.0.0
remotes	2.5.0
reshape2	1.4.5
reticulate	1.45.0
rhdf5	2.54.1
rhdf5filters	1.22.0
Rhdf5lib	1.32.0
RhpcBLASctl	0.23-42
ridge	3.3
rjson	0.2.23
rlang	1.1.7
rlist	0.4.6.2
rmarkdown	2.30
rngtools	1.5.2
robustbase	0.99-7
ROCR	1.0-12
roxygen2	7.3.3
rpart	4.1.24
rprojroot	2.1.1
rrcov	1.7-7
RSpectra	0.16-2
RSQLite	2.4.6
rstatix	0.7.3
rstudioapi	0.18.0
rsvd	1.0.5
RTriangle	1.6-0.15
Rtsne	0.17
rversions	3.0.0
rvest	1.0.5
s2	1.1.9
S4Arrays	1.10.1
S4Vectors	0.48.0
S7	0.2.1
sass	0.4.10
SC3	1.38.0
ScaledMatrix	1.18.0
scales	1.4.0
scater	1.38.0
scattermore	1.2
scatterplot3d	0.3-45
scBSP	1.1.0
sccore	1.0.6
scran	1.38.1
sctransform	0.4.3
scuttle	1.20.0
selectr	0.5-1
Seqinfo	1.0.0
sessioninfo	1.2.3
Seurat	5.4.0
SeuratObject	5.3.0
sf	1.1-0
shape	1.4.6.1
shiny	1.13.0
shinydashboard	0.7.3
SingleCellExperiment	1.32.0
SingleR	2.12.0
sitmo	2.0.2
smfishHmrf	0.1
sna	2.8
snow	0.4-4
sourcetools	0.1.7-1
sp	2.2-1
spam	2.11-3
SPARK	1.1.1
SparseArray	1.10.8
SparseM	1.84-2
sparseMatrixStats	1.22.0
sparsevctrs	0.3.6
SpatialExperiment	1.20.0
spatstat.data	3.1-9
spatstat.explore	3.7-0
spatstat.geom	3.7-0
spatstat.random	3.4-4
spatstat.sparse	3.1-0
spatstat.univar	3.1-6
spatstat.utils	3.2-2
splines	4.5.2
SQUAREM	2026.1
statmod	1.5.1
statnet.common	4.13.0
stats	4.5.2
stats4	4.5.2
STEAM	1.0
stringfish	0.18.0
stringi	1.8.7
stringr	1.6.0
SummarizedExperiment	1.40.0
survival	3.8-6
svglite	2.2.2
svgPanZoom	0.3.4
sys	3.4.3
systemfonts	1.3.2
tcltk	4.5.2
tensor	1.5.1
terra	1.9-1
testthat	3.3.2
textshaping	1.0.5
tibble	3.3.1
tidygraph	1.3.1
tidyr	1.3.2
tidyselect	1.2.1
tiff	0.1-12
timechange	0.4.0
timeDate	4052.112
tinytex	0.58
tools	4.5.2
tweenr	2.0.3
tzdb	0.5.0
UCell	2.14.0
UCSC.utils	1.6.1
units	1.0-0
urca	1.3-4
urlchecker	1.0.1
usethis	3.2.1
utf8	1.2.6
utils	4.5.2
uwot	0.2.4
V8	8.0.1
vctrs	0.7.1
vipor	0.4.7
viridis	0.6.5
viridisLite	0.4.3
vroom	1.7.0
waldo	0.6.2
whisker	0.4.1
withr	3.0.2
wk	0.9.5
WriteXLS	6.8.0
xfun	0.56
XML	3.99-0.22
xml2	1.5.2
xopen	1.0.1
xtable	1.8-8
XVector	0.50.0
yaml	2.3.12
zip	2.3.3
zlibbioc	1.52.0
zoo	1.8-15
